YEAR,MO,DY,HR,WS50M,recalculated wind speeds for 140m,cut in/out wind speeds applied
2020,1,1,0,6.47,7.005966027,7.005966027
2020,1,1,1,6.05,6.551173797,6.551173797
2020,1,1,2,5.44,5.890642224,5.890642224
2020,1,1,3,4.83,5.230110651,5.230110651
2020,1,1,4,4.14,4.482951987,4.482951987
2020,1,1,5,3.02,3.270172705,3.270172705
2020,1,1,6,1.72,1.862482468,1.862482468
2020,1,1,7,0.85,0.920412847,0
2020,1,1,8,1.27,1.375205078,0
2020,1,1,9,1.88,2.035736651,2.035736651
2020,1,1,10,2.18,2.360588244,2.360588244
2020,1,1,11,2.35,2.544670814,2.544670814
2020,1,1,12,2.4,2.598812746,2.598812746
2020,1,1,13,2.22,2.40390179,2.40390179
2020,1,1,14,1.83,1.981594719,1.981594719
2020,1,1,15,1.68,1.819168922,1.819168922
2020,1,1,16,2.34,2.533842427,2.533842427
2020,1,1,17,3.03,3.281001092,3.281001092
2020,1,1,18,3.46,3.746621709,3.746621709
2020,1,1,19,3.73,4.038988143,4.038988143
2020,1,1,20,3.99,4.32052619,4.32052619
2020,1,1,21,4.27,4.62372101,4.62372101
2020,1,1,22,4.64,5.024371309,5.024371309
2020,1,1,23,5.07,5.489991926,5.489991926
2020,1,2,0,5.47,5.923127383,5.923127383
2020,1,2,1,5.77,6.247978977,6.247978977
2020,1,2,2,6.1,6.605315729,6.605315729
2020,1,2,3,6.5,7.038451187,7.038451187
2020,1,2,4,6.92,7.493243417,7.493243417
2020,1,2,5,7.23,7.828923397,7.828923397
2020,1,2,6,7.41,8.023834353,8.023834353
2020,1,2,7,7.59,8.218745309,8.218745309
2020,1,2,8,7.66,8.294544014,8.294544014
2020,1,2,9,7.88,8.532768516,8.532768516
2020,1,2,10,8.05,8.716851085,8.716851085
2020,1,2,11,8.44,9.139158156,9.139158156
2020,1,2,12,9.23,9.994600685,9.994600685
2020,1,2,13,10.39,11.25069351,11.25069351
2020,1,2,14,11.03,11.94371024,11.94371024
2020,1,2,15,11.46,12.40933086,12.40933086
2020,1,2,16,11.43,12.3768457,12.3768457
