ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
14.85,87.83,0,0
60.98,81.58,81.58,416.4494363
52.77,76.82,76.82,231.4361894
70.77,74.13,74.13,258.7988552
67.09,73.76,73.76,239.8972047
58.43,75.74,75.74,237.2093958
46.76,79.88,79.88,266.1197487
21.43,85.81,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13.89,87.82,0,0
55.28,81.55,81.55,376.1919089
54.41,76.77,76.77,237.7429718
81.2,74.06,74.06,295.6699206
91.86,73.66,73.66,326.5126676
81.16,75.63,75.63,327.0171476
17.09,79.77,79.77,96.227456
19.73,85.67,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
19.37,87.8,0,0
81.81,81.51,81.51,554.1301617
85.41,76.71,76.71,371.5418647
162.55,73.98,73.98,589.0071461
166.5,73.57,73.57,588.6643115
194.28,75.52,75.52,776.9893367
143.35,79.64,79.64,797.1309341
45.1,85.52,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
19.95,87.77,0,0
68.95,81.46,81.46,464.3102696
89.19,76.65,76.65,386.2729394
114.87,73.89,73.89,413.972296
144.95,73.46,73.46,509.1598581
118.72,75.4,75.4,470.9814823
87.82,79.51,79.51,482.3580844
41.3,85.36,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
